"Scenario","2019","2020","2021"
"orig",4136.84807959452,3863.03520430858,3672.48364084189
"orig.SSBrhoadj",3326.70801834314,3115.84113542419,2984.5610837754
"orig.NAArhoadj",3297.6577147179,3155.94308006898,3069.39400097863
"Cmult Sudden2000",1084.98714060537,1152.81083169749,1225.50878328531
"Cmult Sudden2005",986.734947411564,1068.12918661634,1152.24640916972
"Cmult Sudden2010",920.55087158933,992.469348523644,1071.47892689681
"Cmult Sudden2015",476.360224734548,513.83370220957,563.441506456212
"CmultRamp42000",1101.50445933171,1165.06870445067,1233.07260004725
"CmultRamp42005",1037.94792898064,1115.51713149021,1196.41641014005
"CmultRamp42010",925.053312555631,1003.63793612141,1087.72638846748
"CmultRamp42015",698.027569671029,756.482491094794,824.849497614584
"CmultRamp92000",1161.29010175725,1210.62690976332,1265.9342754841
"CmultRamp92005",1043.95510446595,1117.56007004446,1194.47563995128
"CmultRamp92010",1004.85210226485,1083.79854773783,1166.58894696236
"CmultRamp92015",804.727887958455,877.041315325034,956.373638333048
"Mmult All Ages Sudden2000",1941.13045977383,1832.24979546036,1761.71583821585
"Mmult All Ages Sudden2005",2021.72993225551,1891.88901235621,1810.1755986871
"Mmult All Ages Sudden2010",1916.84577497725,1743.93778292349,1638.99888610271
"Mmult All Ages Sudden2015",1397.47994940959,1132.4008346751,970.805216715205
"Mmult All AgesRamp42000",2040.68760222805,1919.42418273405,1839.9659848616
"Mmult All AgesRamp42005",2060.36484324921,1933.06863159682,1851.40741572826
"Mmult All AgesRamp42010",2064.57615232034,1905.47013134983,1805.98424351104
"Mmult All AgesRamp42015",1717.65280164202,1478.16977234298,1328.04880412894
"Mmult All AgesRamp92000",1968.50049600952,1851.25328049263,1774.09253467879
"Mmult All AgesRamp92005",1936.73020660906,1823.90566374989,1751.35872985718
"Mmult All AgesRamp92010",2062.04932371598,1918.50802647582,1827.67283530904
"Mmult All AgesRamp92015",1832.56989185325,1645.91376876266,1530.16138300513
"Mmult Old Ages Sudden2000",2210.62441235596,2088.05120584409,2012.50138739053
"Mmult Old Ages Sudden2005",2142.76315749948,2028.26222949768,1965.82741576545
"Mmult Old Ages Sudden2010",2091.11044803243,1969.35574843375,1913.4068307768
"Mmult Old Ages Sudden2015",1460.33625716896,1403.10494299208,1413.35948617069
"Mmult Old AgesRamp42000",2281.32177557173,2147.74128900537,2063.19583351384
"Mmult Old AgesRamp42005",2207.27480953128,2085.24225565435,2014.151727365
"Mmult Old AgesRamp42010",2098.46633872597,1983.09459754546,1926.77599751021
"Mmult Old AgesRamp42015",1833.29339871492,1718.73782186299,1680.95400714048
"Mmult Old AgesRamp92000",2353.3211938092,2207.45486214647,2114.59689141242
"Mmult Old AgesRamp92005",2284.76239771761,2151.07151481636,2069.84371985821
"Mmult Old AgesRamp92010",2154.92875602308,2035.5140568103,1971.48823220517
"Mmult Old AgesRamp92015",1987.17169416794,1870.40324570795,1820.7521511706
"Mmult Young Ages Sudden2000",1413.74690190514,1397.27708043077,1381.7128148307
"Mmult Young Ages Sudden2005",1530.41558874534,1456.30661747177,1399.81195038481
"Mmult Young Ages Sudden2010",1110.23310569505,952.163736615793,843.963269213111
"Mmult Young Ages Sudden2015",3084.32429476213,2409.46185415424,1861.6737346559
"Mmult Young AgesRamp42000",1371.89364928734,1364.1925383578,1354.94128338629
"Mmult Young AgesRamp42005",1473.64633204968,1425.88429448496,1388.23014284266
"Mmult Young AgesRamp42010",1418.12791020791,1296.41118813996,1209.90448119867
"Mmult Young AgesRamp42015",2026.73356971561,1589.03183471698,1249.81077597572
"Mmult Young AgesRamp92000",1441.27644370473,1427.29009913773,1412.62141310363
"Mmult Young AgesRamp92005",1445.97325552436,1415.53768678488,1389.85846330118
"Mmult Young AgesRamp92010",1450.21357630885,1367.7734995853,1305.78609376731
"Mmult Young AgesRamp92015",1315.91460115324,1112.09401131552,957.389439025033
"Rose",1633.21214486975,1542.38802644807,1490.64704240778
