"Scenario","F_Terminal","F_Target","F_Ratio","SSB_Terminal","SSB_Target","SSB_Ratio"
"orig",0.01974118,0.997132848753702,0.0197979436989506,3152.809,10177.3369168884,0.309787228795403
"orig.rhoadj",0.0504529068364023,0.997132848753702,0.0505979788946502,1002.66005168819,10177.3369168884,0.0985189013468118
"01_Sudden Cmults",0.395988,1.22171057998411,0.324125866213871,1881.201,11238.8949519611,0.167383093092416
"02_Ramp4 Cmults",0.38643,1.25467757352311,0.307991477774574,1761.595,10816.7668992283,0.16285781291318
"03_Ramp9 Cmults",0.401876,1.27495234550575,0.315208644006676,1894.989,11011.2777018592,0.172095287332553
"04_Sudden Mmults",0.08191162,1.11876269081302,0.0732162599563215,914.0925,13781.8801808662,0.066325674581692
"05_Ramp4 Mmults",0.07938903,1.32355566579261,0.0599816328484061,1140.47,48715.8299286971,0.0234106655202067
"06_Ramp9 Mmults",0.07078583,1.30319300018368,0.054317226987885,1275.499,51688.9730380005,0.0246764237134733
"07_Old Sudden Mmults",0.04443441,1.0555942199851,0.0420942149537605,1673.708,18566.4395137529,0.0901469556809865
"08_Old Ramp4 Mmults",0.04880934,1.06000501637608,0.046046329258769,1528.066,15711.8170316161,0.0972558423335221
"09_Old Ramp9 Mmults",0.04467228,1.05283275081008,0.0424305569575299,1661.924,18226.7934212351,0.0911802729965534
"10_Young Sudden Mmults",1.805656,1.55015468285529,1.16482311086149,39.07817,11941.9976684175,0.00327233106931083
"11_Young Ramp4 Mmults",0.1750183,1.93060142584673,0.0906548071791875,600.6889,88844.58848726,0.00676111972859367
"12_Young Ramp9 Mmults",0.2311995,2.25868100612351,0.102360403869867,784.9186,632837.521688292,0.00124031615240826
"Rose",0.313847525833333,1.36706007981659,0.218604210905695,1263.01918083333,77781.8983759322,0.0755504829262414
